"Dataset","Model","Mean_WAIC","AICc","Num_Obs"
"3D39X359_2.csv","gompertz_survival",-26.5367463784361,-16.5367463784361,10
"3D39X359_2.csv","loglogistic",-37.559739203387,-27.559739203387,10
"3D39X359_2.csv","generalizedgamma",-32.4977124896727,-16.4977124896727,10
"3D39X359_3.csv","exponential",-6.02758528475172,-0.527585284751717,11
"3D39X359_3.csv","weibull",-24.0686401088679,-14.6400686802965,11
"3D39X359_3.csv","gompertz_hazard",-20.4833887381047,-11.0548173095332,11
"3D39X359_3.csv","gompertz_survival",-20.8089672917741,-11.3803958632026,11
"3D39X359_3.csv","loglogistic",-30.4159645621287,-20.9873931335572,11
"3D39X359_3.csv","generalizedgamma",-24.0620654474551,-9.39539878078847,11
"3D39X359_4.csv","exponential",-11.1987261369822,-6.10781704607312,14
"3D39X359_4.csv","weibull",-42.8287296319073,-34.4287296319073,14
"3D39X359_4.csv","gompertz_hazard",-33.7621772713039,-25.3621772713039,14
"3D39X359_4.csv","gompertz_survival",-35.5909984910559,-27.1909984910559,14
"3D39X359_4.csv","loglogistic",-52.6097084538455,-44.2097084538455,14
"3D39X359_4.csv","generalizedgamma",-42.808259524649,-30.3638150802046,14
"3D39X359_5.csv","exponential",-20.0477939657854,-14.9568848748763,14
"3D39X359_5.csv","weibull",-53.3325362920988,-44.9325362920988,14
"3D39X359_5.csv","gompertz_hazard",-43.7592747447871,-35.3592747447871,14
"3D39X359_5.csv","gompertz_survival",-47.6621136951358,-39.2621136951358,14
"3D39X359_5.csv","loglogistic",-53.9840305125018,-45.5840305125018,14
"3D39X359_5.csv","generalizedgamma",-53.3010521729338,-40.8566077284894,14
"3D39X359_6.csv","exponential",-22.3951070293516,-17.7635280819832,22
"3D39X359_6.csv","weibull",-98.60814867838,-91.2748153450467,22
"3D39X359_6.csv","gompertz_hazard",-88.0912528778643,-80.757919544531,22
"3D39X359_6.csv","gompertz_survival",-95.5148361843891,-88.1815028510558,22
"3D39X359_6.csv","loglogistic",-75.569118795297,-68.2357854619637,22
"3D39X359_6.csv","generalizedgamma",-101.262055402566,-90.909114226095,22
"3R5CQ6F8.csv","exponential",-36.6402507065566,-32.2116792779851,31
"3R5CQ6F8.csv","weibull",-116.70870747487,-109.819818585982,31
"3R5CQ6F8.csv","gompertz_hazard",-98.6625333964709,-91.773644507582,31
"3R5CQ6F8.csv","gompertz_survival",-107.224999696234,-100.336110807346,31
"3R5CQ6F8.csv","loglogistic",-108.670392520648,-101.781503631759,31
"3R5CQ6F8.csv","generalizedgamma",-116.739055159043,-107.200593620581,31
"3X7F3DH4.csv","exponential",-15.6047413782045,-10.2714080448712,12
"3X7F3DH4.csv","weibull",-28.657237829941,-19.657237829941,12
"3X7F3DH4.csv","gompertz_hazard",-33.354589620077,-24.354589620077,12
"3X7F3DH4.csv","gompertz_survival",-32.8083329954555,-23.8083329954555,12
"3X7F3DH4.csv","loglogistic",-23.8233388676409,-14.8233388676409,12
"3X7F3DH4.csv","generalizedgamma",-30.4484711482531,-16.7341854339674,12
"4DL6XEZ8_1.csv","exponential",2.38136288878336,12.3813628887834,5
"4DL6XEZ8_1.csv","weibull",-12.3017856566324,17.6982143433676,5
"4DL6XEZ8_1.csv","gompertz_hazard",-12.9728715318983,17.0271284681017,5
"4DL6XEZ8_1.csv","gompertz_survival",-12.9586642696918,17.0413357303082,5
"4DL6XEZ8_1.csv","loglogistic",-17.1810132026922,12.8189867973078,5
"4DL6XEZ8_1.csv","generalizedgamma",-12.5828976533457,Inf,5
"4SCACQZH_1.csv","exponential",-2.28922914303105,2.91077085696895,13
"4SCACQZH_1.csv","weibull",-39.7015806175208,-31.0349139508542,13
"4SCACQZH_1.csv","gompertz_hazard",-40.998617739208,-32.3319510725414,13
"4SCACQZH_1.csv","gompertz_survival",-41.0053702724488,-32.3387036057821,13
"4SCACQZH_1.csv","loglogistic",-35.1520931114904,-26.4854264448237,13
"4SCACQZH_1.csv","generalizedgamma",-41.1416803570995,-28.1416803570995,13
"4SCACQZH_2.csv","exponential",-4.77599836282716,0.147078560249762,16
"4SCACQZH_2.csv","weibull",-83.4430159948441,-75.4430159948441,16
"4SCACQZH_2.csv","gompertz_hazard",-72.8970275753468,-64.8970275753468,16
"4SCACQZH_2.csv","gompertz_survival",-73.290102703849,-65.290102703849,16
"4SCACQZH_2.csv","loglogistic",-74.4615472463815,-66.4615472463815,16
"4SCACQZH_2.csv","generalizedgamma",-83.3641926560408,-71.7278290196771,16
"53R259IA.csv","exponential",-1.88261431565324,6.11738568434676,6
"53R259IA.csv","weibull",-25.9589644950305,-7.95896449503045,6
"53R259IA.csv","gompertz_hazard",-29.3967904046762,-11.3967904046762,6
"53R259IA.csv","gompertz_survival",-29.9298042099894,-11.9298042099894,6
"53R259IA.csv","loglogistic",-18.4486508766246,-0.448650876624573,6
"53R259IA.csv","generalizedgamma",-29.0616002453203,18.9383997546797,6
"575DA7SF_3.csv","exponential",-10.9779048860993,-4.97790488609934,9
"575DA7SF_3.csv","weibull",-15.2348304136831,-4.43483041368314,9
"575DA7SF_3.csv","gompertz_hazard",-21.3170394725874,-10.5170394725874,9
"575DA7SF_3.csv","gompertz_survival",-18.4514580473755,-7.65145804737549,9
"575DA7SF_3.csv","loglogistic",-14.16668916282,-3.36668916281996,9
"575DA7SF_3.csv","generalizedgamma",-16.1395059960998,1.86049400390016,9
"575DA7SF_4.csv","exponential",-11.4054058017617,-5.4054058017617,9
"575DA7SF_4.csv","weibull",-15.7289489785631,-4.92894897856311,9
"575DA7SF_4.csv","gompertz_hazard",-22.2533728154013,-11.4533728154013,9
"575DA7SF_4.csv","gompertz_survival",-18.9208509429605,-8.12085094296049,9
"575DA7SF_4.csv","loglogistic",-14.682201330725,-3.88220133072497,9
"575DA7SF_4.csv","generalizedgamma",-16.6062898898764,1.39371011012358,9
"575DA7SF_5.csv","exponential",-16.0765001082354,-9.07650010823541,7
"575DA7SF_5.csv","weibull",-17.1038667495173,-3.10386674951727,7
"575DA7SF_5.csv","gompertz_hazard",-14.4076293694653,-0.40762936946526,7
