"Dataset","constant_AICc","constant_lambda","gompertz_AICc","survival_a","gompertz_b","weibull_AICc","weibull_lambda","weibull_k","loglogistic_AICc","loglogistic_alpha","loglogistic_beta","gamma_AICc","gamma_alpha","gamma_beta","gamma_gamma","deltaCG"
"2DRM7FWM.csv",-0.353603706059078,1.70740049671536,1.26868244453663,0.606968957916835,2.81881186877031,4.3788689328806,0.595438607997609,1.90031931262399,7.29898200369873,0.480968246277072,2.87252763551851,33.0095070387919,2.42108180435034,0.921042566984346,1.37743180824667,-1.62228615059571
"2DVV3DN4_1.csv",4.18096674919672,1.74141924878677,-2.81885875286334,0.0987107501873508,6.53819047385086,-2.283873614445,0.636180399314448,4.18406687787243,0.129438506953814,0.573199013422324,6.55863001550501,27.2928756031314,1.35251350001509,0.686631551671875,3.46579532640208,6.99982550206006
"2DVV3DN4_2.csv",8.83681364521729,1.87149096559355,-6.89191116050171,2.11833424858154e-06,27.6247074711826,-6.89276244496499,0.592434722754976,15.0676897009478,-12.6815412727821,0.572168885528313,16.9563269039808,NA,NA,NA,NA,15.728724805719
"2JL6JPJI_1.csv",-7.18511508009215,1.67567479838688,-44.9898475126182,0.361603956737843,4.31333761573573,-60.4673969513662,0.57650372006873,2.53328950013766,-47.4872728883218,0.481545499907051,3.83976657890817,-56.4236745942173,1.00164393955819,0.576973093602264,2.52935925822933,37.804732432526
"2JL6JPJI_2.csv",-2.91036894869803,1.32895368709289,-44.5943427380881,0.180836146394564,4.86128687442989,-51.1134334647798,0.668748221899761,3.09056660995638,-41.6363309394694,0.57494280673539,4.51767829368332,-47.9372900724762,1.10295171776175,0.693715853843098,2.88283881101138,41.6839737893901
"2RIUMKJR.csv",5.57115071966786,1.6936651547948,-9.76323304660153,9.3369100797156e-05,17.49437196427,-10.7622593685694,0.693055554167709,12.1682813512794,-12.8951389109134,0.669902457391496,20.3796991402795,19.3010422234746,2894.64920590619,1.32853761987685,6.1398307736242,15.3343837662694
"2TEFS36B_1.csv",-2.02800586195354,1.55913099791459,-47.5258020889242,0.0725543483412746,7.26865778251283,-40.4078948898419,0.630491771034941,4.59299708014455,-35.1231175751907,0.578950812629152,7.63673989335563,-39.8232743379286,3.87696288058996,0.833603105844281,2.97105927145325,45.4977962269707
"2TEFS36B_2.csv",-30.3522704844637,1.96725313849851,-115.993460274749,0.580665144121894,4.75801585864855,-139.379503816293,0.456193470897941,2.2420732497177,-103.678640290017,0.375799295654446,3.22131448953745,-136.756287044239,562.734161718198,7.26979519839874,1.15134134817249,85.6411897902853
"2WHSRREX.csv",6.16259697725903,1.1637971558286,-38.8686171355972,0.000351506424605435,13.2811929051682,-40.6386859269478,0.792351044730767,10.2549884573718,-44.1498563209458,0.759538013071017,15.5415659658763,-38.3932046234069,0.94807878510789,0.787183313442345,10.8522839126318,45.0312141128562
"2ZR3YCWG_1.csv",1.48273570111154,1.40395020925064,-27.8091121553241,0.16019758189326,5.26049398712265,-31.5418645863973,0.655244584052105,3.23602840534023,-24.6811745995173,0.566437886280517,4.8509648637384,-25.7384573247215,1.07428732643172,0.672716461463274,3.06257108811363,29.2918478564356
"2ZR3YCWG_2.csv",-3.53577627300818,1.43977510208033,-32.2677085762756,0.326440554999734,3.75369710950096,-20.8293988329744,0.656362116681503,2.47820987593321,-13.1581045634399,0.551014171822199,3.64241893368042,-18.0253141984103,2.48743763910802,0.926813078009869,1.78550962114982,28.7319323032674
"2ZR3YCWG_3.csv",2.79547346847108,1.68010545982744,-12.5923118688456,0.317128705864296,4.32806184637077,-12.8437057796516,0.602514602924112,2.62902972259466,-2.85617543465841,0.506303318957427,4.05174975508795,13.5879886175961,1.39413739400072,0.688018273975309,2.18652421202639,15.3877853373167
"3D39X359_1.csv",5.22420372557661,1.82095074671952,-21.1044579127057,0.00697497622555559,16.4621518582867,-22.0219687327805,0.472866045833504,6.82070745449961,-32.5917435810823,0.448397141749456,7.76528542041861,-14.809146206469,36323.5842522362,2.19231345984074,3.42470466011125,26.3286616382823
"3D39X359_2.csv",-0.595876791594449,1.87702913108941,-16.0845661191895,0.279970502517667,5.19954335067198,-20.4181165771547,0.556740202346479,2.99110850278371,-26.2663170883914,0.473321083465731,4.76747794550335,-15.6357839443731,0.932280442097023,0.537072969548298,3.28662445457595,15.4886893275951
"3D39X359_3.csv",-0.506535249069339,3.21684168224578,-11.2622443320863,0.385290353561718,10.1018903022019,-14.5748481520196,0.321719523479622,3.15717793820084,-20.7949927468959,0.273398034346418,5.41709585014546,-9.33009092866575,450358.856035256,19.8938022007501,1.57853456316009,10.755709083017
"3D39X359_4.csv",-6.02920585413598,2.84439696591673,-27.3913029944749,0.433764174702796,7.76502680641253,-34.5829101195869,0.370487397033671,2.84897120242742,-44.2937483578111,0.313907356377637,4.38233357142927,-30.5178853614995,219775.122450148,27.6984643276901,1.42589743859417,21.3620971403389
"3D39X359_5.csv",-14.8137532355966,2.99674676316808,-38.804023537226,0.69914194907502,5.89923051671925,-44.2322265828727,0.374085030703126,2.48414006451077,-44.6843713592612,0.31713654060666,3.99553661252253,-40.1578620824779,19759.0162631935,19.8296846319608,1.24665044181735,23.9902703016294
"3D39X359_6.csv",-18.4841242872178,1.90906523385145,-87.4920327498476,0.437743923273138,4.68392127485295,-89.9610991555937,0.515862004816428,2.4198532120501,-67.3407642218134,0.43106066690235,3.63291270864354,-89.6339868714671,4.26300679041853,0.894128247981351,1.59306652746667,69.0079084626298
"3R5CQ6F8.csv",-32.4470619003502,3.73130372452173,-101.309034228297,0.601968927783742,9.6601325768033,-112.339782970209,0.285453707205801,2.71499469586856,-105.789330906756,0.239742086736746,4.13337373846335,-109.704674231986,0.988546077077135,0.283899779640112,2.74412817909335,68.8619723279468
"3X7F3DH4.csv",2.86650226946985,1.04243334408428,-18.3954491342246,0.0711662395782284,5.93155966986569,-21.9107355304435,0.73788772302067,3.96645747038558,-23.0134591435921,0.654730006586919,5.75652300205698,-17.5932187952456,0.926619234859713,0.717879912483927,4.3173118250048,21.2619514036945
"4DL6XEZ8_1.csv",-9.76761559147857,3.66003342299651,-4.68460547111826,2.63513748519765,1.54939909305721,-0.326080120683137,0.294328655501137,1.33152096296514,6.17809563995632,0.230393413619389,2.60761088046216,Inf,1.42480992727394,0.389439046395658,1.02678424117345,-5.08301012036031
"4SCACQZH_1.csv",2.82645647456502,0.567929168299254,-31.9670386896819,0.00291772128350279,8.9429113759169,-30.6109895890845,0.894067711924927,7.42416727532419,-26.0563365419403,0.841633288458665,10.2703761754855,-27.7632133872778,1.79634256326114,0.963702826913502,5.89666283520514,34.7934951642469
